Scene,rater1,rater2,rater3,rater4,rater5,rater6,rater7,avg,var,,"How often could you find children here? 1: Never, 2: Rarely, 3: Sometimes, 4: Often, 5: Very often"
cathedral/indoor             ,4,4,2,3,4,4,3,3.43,0.62,,
cathedral/outdoor            ,4,4,2,3,4,4,3,3.43,0.62,,
cottage                      ,5,3,3,3,3,3,4,3.43,0.62,,
farm                         ,4,4,3,3,4,4,2,3.43,0.62,,
hotel_room                   ,5,3,3,3,3,3,4,3.43,0.62,,
laundromat                   ,4,4,3,3,4,4,2,3.43,0.62,,
plaza                        ,5,3,3,3,3,3,4,3.43,0.62,,
porch                        ,5,3,3,3,3,3,4,3.43,0.62,,
ranch                        ,4,4,3,3,4,4,2,3.43,0.62,,
ranch_house                  ,4,4,3,3,4,4,2,3.43,0.62,,
washroom                     ,5,3,3,3,3,3,4,3.43,0.62,,
convenience_store/indoor     ,4,4,2,2,4,4,4,3.43,0.95,,
convenience_store/outdoor    ,4,4,2,2,4,4,4,3.43,0.95,,
art_gallery                  ,5,4,2,3,4,4,2,3.43,1.29,,
cabin/indoor                 ,5,3,3,2,3,3,5,3.43,1.29,,
cabin/outdoor                ,5,3,3,2,3,3,5,3.43,1.29,,
game_room                    ,5,2,5,4,2,2,4,3.43,1.95,,
party_tent/indoor            ,5,4,2,1,4,4,4,3.43,1.95,,
party_tent/outdoor           ,5,4,2,1,4,4,4,3.43,1.95,,
bay                          ,4,3,3,4,3,3,3,3.29,0.24,,
pedestrian_overpass/indoor   ,4,3,3,4,3,3,3,3.29,0.24,,
pedestrian_overpass/outdoor  ,4,3,3,4,3,3,3,3.29,0.24,,
salad_bar                    ,4,3,3,4,3,3,3,3.29,0.24,,
building_complex             ,4,3,3,3,3,3,4,3.29,0.24,,
chair_lift                   ,4,3,3,3,3,3,4,3.29,0.24,,
chalet                       ,4,3,3,3,3,3,4,3.29,0.24,,
country_house                ,4,3,3,3,3,3,4,3.29,0.24,,
dining_hall                  ,4,3,3,3,3,3,4,3.29,0.24,,
driveway                     ,4,3,3,3,3,3,4,3.29,0.24,,
elevator_lobby               ,4,3,3,3,3,3,4,3.29,0.24,,
entranceway_indoor           ,4,3,3,3,3,3,4,3.29,0.24,,
entranceway_outdoor          ,4,3,3,3,3,3,4,3.29,0.24,,
flight_of_stairs/urban       ,4,3,3,3,3,3,4,3.29,0.24,,
greengrocery                 ,4,3,3,3,3,3,4,3.29,0.24,,
japanese_garden              ,4,3,3,3,3,3,4,3.29,0.24,,
alcove                       ,3,4,3,3,3,4,3,3.29,0.24,,
shopfront                    ,4,3,3,3,4,3,3,3.29,0.24,,
awning_deck                  ,4,3,2,4,3,3,4,3.29,0.57,,
acropolis                    ,3,4,2,3,4,4,3,3.29,0.57,,
cottage_garden               ,5,3,3,3,3,3,3,3.29,0.57,,
hallway                      ,5,3,3,3,3,3,3,3.29,0.57,,
lake/natural                 ,5,3,3,3,3,3,3,3.29,0.57,,
patio                        ,5,3,3,3,3,3,3,3.29,0.57,,
patio_indoor                 ,5,3,3,3,3,3,3,3.29,0.57,,
reception_room               ,5,3,3,3,3,3,3,3.29,0.57,,
sidewalk                     ,4,3,3,4,2,3,4,3.29,0.57,,
subway_station/corridor      ,3,4,3,2,4,4,3,3.29,0.57,,
sun_deck                     ,5,3,3,3,3,3,3,3.29,0.57,,
train_station/outdoor        ,5,3,3,3,3,3,3,3.29,0.57,,
train_station/platform       ,5,3,3,3,3,3,3,3.29,0.57,,
waiting_room                 ,5,3,3,3,3,3,3,3.29,0.57,,
garden                       ,3,3,3,3,3,3,5,3.29,0.57,,
handball_court               ,4,3,4,4,3,3,2,3.29,0.57,,
ski_lodge                    ,3,4,3,2,3,4,4,3.29,0.57,,
ski_resort                   ,3,4,3,2,3,4,4,3.29,0.57,,
synagogue/indoor             ,3,3,3,3,3,3,5,3.29,0.57,,
synagogue/outdoor            ,3,3,3,3,3,3,5,3.29,0.57,,
lake/artificial              ,5,3,3,2,3,3,4,3.29,0.90,,
meadow                       ,5,3,3,2,3,3,4,3.29,0.90,,
van_interior                 ,5,3,2,4,3,3,3,3.29,0.90,,
assembly_hall                ,4,3,3,5,3,3,2,3.29,0.90,,
bazaar/outdoor               ,4,4,3,2,2,4,4,3.29,0.90,,
ferryboat/passenger_deck     ,5,3,3,4,3,3,2,3.29,0.90,,
hospital                     ,4,3,2,3,3,3,5,3.29,0.90,,
kiosk/indoor                 ,4,4,3,2,4,4,2,3.29,0.90,,
kiosk/outdoor                ,4,4,3,2,4,4,2,3.29,0.90,,
oceanfront                   ,5,3,3,4,3,3,2,3.29,0.90,,
tent/indoor                  ,5,3,4,3,3,3,2,3.29,0.90,,
badminton_court/outdoor      ,5,4,3,2,2,4,3,3.29,1.24,,
campus                       ,4,2,4,5,2,2,4,3.29,1.57,,
baggage_claim                ,5,4,3,3,1,4,3,3.29,1.57,,
doorway/indoor               ,3,3,3,4,3,3,3,3.14,0.14,,
doorway/outdoor              ,3,3,3,4,3,3,3,3.14,0.14,,
escalator/indoor             ,3,3,3,4,3,3,3,3.14,0.14,,
escalator/outdoor            ,3,3,3,4,3,3,3,3.14,0.14,,
strip_mall                   ,3,3,3,4,3,3,3,3.14,0.14,,
dining_car                   ,4,3,3,3,3,3,3,3.14,0.14,,
elevator/interior            ,4,3,3,3,3,3,3,3.14,0.14,,
entrance_hall                ,4,3,3,3,3,3,3,3.14,0.14,,
entryway_outdoor             ,4,3,3,3,3,3,3,3.14,0.14,,
flowerbed                    ,4,3,3,3,3,3,3,3.14,0.14,,
mobile_home                  ,4,3,3,3,3,3,3,3.14,0.14,,
stage/indoor                 ,4,3,3,3,3,3,3,3.14,0.14,,
stage/outdoor                ,4,3,3,3,3,3,3,3.14,0.14,,
staircase                    ,4,3,3,3,3,3,3,3.14,0.14,,
teashop                      ,4,3,3,3,3,3,3,3.14,0.14,,
ticket_window/indoor         ,4,3,3,3,3,3,3,3.14,0.14,,
ticket_window/outdoor        ,4,3,3,3,3,3,3,3.14,0.14,,
town_house                   ,4,3,3,3,3,3,3,3.14,0.14,,
window_seat                  ,4,3,3,3,3,3,3,3.14,0.14,,
parade_ground                ,4,3,3,4,3,3,2,3.14,0.48,,
back_entrance                ,3,3,2,4,3,3,4,3.14,0.48,,
basilica                     ,4,3,3,2,3,3,4,3.14,0.48,,
cabin_cruiser                ,4,3,3,2,3,3,4,3.14,0.48,,
courtyard                    ,4,3,3,2,3,3,4,3.14,0.48,,
departure_lounge             ,4,3,3,2,3,3,4,3.14,0.48,,
ski_slope                    ,3,4,3,3,2,4,3,3.14,0.48,,
snack_bar                    ,3,3,3,4,2,3,4,3.14,0.48,,
arbor                        ,5,3,2,3,3,3,3,3.14,0.81,,
arena/rodeo                  ,2,4,3,3,4,4,2,3.14,0.81,,
hardware_store               ,3,4,3,2,4,4,2,3.14,0.81,,
inn/indoor                   ,5,3,3,2,3,3,3,3.14,0.81,,
inn/outdoor                  ,5,3,3,2,3,3,3,3.14,0.81,,
lido_deck/indoor             ,3,3,3,5,3,3,2,3.14,0.81,,
lido_deck/outdoor            ,3,3,3,5,3,3,2,3.14,0.81,,
pavilion                     ,5,3,3,2,3,3,3,3.14,0.81,,
reading_room                 ,5,3,3,3,3,3,2,3.14,0.81,,
reception                    ,5,3,3,3,3,3,2,3.14,0.81,,
skywalk/indoor               ,3,3,3,3,5,3,2,3.14,0.81,,
skywalk/outdoor              ,3,3,3,3,5,3,2,3.14,0.81,,
rock_garden                  ,2,4,3,2,4,4,3,3.14,0.81,,
shore                        ,5,3,3,4,2,3,2,3.14,1.14,,
barbershop                   ,4,2,3,3,5,2,3,3.14,1.14,,
t-bar_lift                   ,4,4,2,2,4,4,2,3.14,1.14,,
bistro/indoor                ,4,3,3,2,2,3,5,3.14,1.14,,
bistro/outdoor               ,4,3,3,2,2,3,5,3.14,1.14,,
cabana                       ,5,3,2,2,3,3,4,3.14,1.14,,
videostore                   ,4,2,4,5,2,2,3,3.14,1.48,,
church/indoor                ,4,2,3,4,2,2,5,3.14,1.48,,
igloo                        ,4,4,3,2,4,4,1,3.14,1.48,,
youth_hostel                 ,3,4,4,1,4,4,2,3.14,1.48,,
crawl_space                  ,2,5,2,2,5,5,1,3.14,3.14,,
bubble_chamber               ,2,5,3,1,5,5,1,3.14,3.48,,
balcony/exterior             ,3,3,3,3,3,3,3,3.00,0.00,,
building_facade              ,3,3,3,3,3,3,3,3.00,0.00,,
corridor                     ,3,3,3,3,3,3,3,3.00,0.00,,
country_road                 ,3,3,3,3,3,3,3,3.00,0.00,,
elevator/door                ,3,3,3,3,3,3,3,3.00,0.00,,
elevator/exterior            ,3,3,3,3,3,3,3,3.00,0.00,,
ferryboat/indoor             ,3,3,3,3,3,3,3,3.00,0.00,,
fishmarket                   ,3,3,3,3,3,3,3,3.00,0.00,,
garage/indoor                ,3,3,3,3,3,3,3,3.00,0.00,,
garage/outdoor               ,3,3,3,3,3,3,3,3.00,0.00,,
gate                         ,3,3,3,3,3,3,3,3.00,0.00,,
loft                         ,3,3,3,3,3,3,3,3.00,0.00,,
mosque/indoor                ,3,3,3,3,3,3,3,3.00,0.00,,
mosque/outdoor               ,3,3,3,3,3,3,3,3.00,0.00,,
pavement                     ,3,3,3,3,3,3,3,3.00,0.00,,
pharmacy                     ,3,3,3,3,3,3,3,3.00,0.00,,
raft                         ,3,3,3,3,3,3,3,3.00,0.00,,
sandbar                      ,3,3,3,3,3,3,3,3.00,0.00,,
train_station/station        ,3,3,3,3,3,3,3,3.00,0.00,,
booth/indoor                 ,4,3,2,3,3,3,3,3.00,0.33,,
booth_outdoor                ,4,3,2,3,3,3,3,3.00,0.33,,
canteen                      ,4,3,3,2,3,3,3,3.00,0.33,,
checkout_counter             ,4,3,2,3,3,3,3,3.00,0.33,,
dorm_room                    ,4,3,3,2,3,3,3,3.00,0.33,,
fitting_room/exterior        ,3,3,2,4,3,3,3,3.00,0.33,,
fitting_room/interior        ,3,3,2,4,3,3,3,3.00,0.33,,
flight_of_stairs/natural     ,4,3,3,2,3,3,3,3.00,0.33,,
gas_station                  ,4,3,2,3,3,3,3,3.00,0.33,,
guesthouse                   ,4,3,3,2,3,3,3,3.00,0.33,,
river                        ,4,3,3,2,3,3,3,3.00,0.33,,
thriftshop                   ,4,3,2,3,3,3,3,3.00,0.33,,
upper_balcony                ,2,3,3,4,3,3,3,3.00,0.33,,
arrival_gate/indoor          ,3,3,3,2,3,3,4,3.00,0.33,,
arrival_gate/outdoor         ,3,3,3,2,3,3,4,3.00,0.33,,
bridle_path                  ,4,3,3,3,3,3,2,3.00,0.33,,
corn_field                   ,4,3,3,3,3,3,2,3.00,0.33,,
dacha                        ,3,3,2,3,3,3,4,3.00,0.33,,
deck-house_deck_house        ,3,3,3,2,3,3,4,3.00,0.33,,
dressing_room                ,4,3,3,3,3,3,2,3.00,0.33,,
drugstore                    ,4,3,3,3,3,3,2,3.00,0.33,,
farm_building                ,4,3,3,3,3,3,2,3.00,0.33,,
farmhouse                    ,4,3,3,3,3,3,2,3.00,0.33,,
fishpond                     ,3,3,4,3,3,3,2,3.00,0.33,,
florist_shop/indoor          ,4,3,3,3,3,3,2,3.00,0.33,,
florist_shop/outdoor         ,4,3,3,3,3,3,2,3.00,0.33,,
foothill                     ,4,3,3,3,3,3,2,3.00,0.33,,
heath                        ,4,3,3,3,3,3,2,3.00,0.33,,
housing_project              ,4,3,3,3,3,3,2,3.00,0.33,,
newsstand/outdoor            ,4,3,3,3,3,3,2,3.00,0.33,,
orchard                      ,4,3,3,3,3,3,2,3.00,0.33,,
piano_store                  ,4,3,3,3,3,3,2,3.00,0.33,,
street                       ,2,3,3,3,3,3,4,3.00,0.33,,
television_studio            ,3,3,3,2,3,3,4,3.00,0.33,,
hospital_room                ,4,3,2,2,3,3,4,3.00,0.67,,
pasture                      ,4,3,2,2,3,3,4,3.00,0.67,,
slum                         ,2,4,3,3,2,4,3,3.00,0.67,,
basement                     ,4,3,3,4,2,3,2,3.00,0.67,,
bow_window/indoor            ,3,3,2,2,3,3,5,3.00,1.00,,
bow_window/outdoor           ,3,3,2,2,3,3,5,3.00,1.00,,
flatlet                      ,3,3,2,2,3,3,5,3.00,1.00,,
alley                        ,2,4,3,2,4,4,2,3.00,1.00,,
baptistry/outdoor            ,4,2,2,3,4,2,4,3.00,1.00,,
church/outdoor               ,4,2,3,4,2,2,4,3.00,1.00,,
manufactured_home            ,5,2,3,3,3,2,3,3.00,1.00,,
veranda                      ,4,3,3,1,3,3,4,3.00,1.00,,
bakery/kitchen               ,3,4,3,2,1,4,4,3.00,1.33,,
barn                         ,4,2,3,3,5,2,2,3.00,1.33,,
gazebo/exterior              ,5,2,3,3,2,2,4,3.00,1.33,,
mansion                      ,4,2,3,2,3,2,5,3.00,1.33,,
mountain_snowy               ,3,4,3,2,4,4,1,3.00,1.33,,
study_hall                   ,5,2,3,3,2,2,4,3.00,1.33,,
walkway                      ,5,2,3,3,2,2,4,3.00,1.33,,
archipelago                  ,3,3,3,3,3,3,2,2.86,0.14,,
backstairs                   ,3,3,2,3,3,3,3,2.86,0.14,,
canyon                       ,3,3,2,3,3,3,3,2.86,0.14,,
computer_room                ,3,3,3,3,3,3,2,2.86,0.14,,
corner                       ,3,3,2,3,3,3,3,2.86,0.14,,
exhibition_hall              ,3,3,3,3,3,3,2,2.86,0.14,,
front_porch                  ,3,3,3,3,3,3,2,2.86,0.14,,
pawnshop                     ,3,3,3,3,3,3,2,2.86,0.14,,
pawnshop_outdoor             ,3,3,3,3,3,3,2,2.86,0.14,,
podium/indoor                ,3,3,3,3,3,3,2,2.86,0.14,,
podium/outdoor               ,3,3,3,3,3,3,2,2.86,0.14,,
shed                         ,3,3,3,3,2,3,3,2.86,0.14,,
stage_set                    ,3,3,3,3,3,3,2,2.86,0.14,,
veterinarians_office         ,3,3,3,3,3,3,2,2.86,0.14,,
deck-house_boat_deck_house   ,3,3,3,2,3,3,3,2.86,0.14,,
hacienda                     ,3,3,3,2,3,3,3,2.86,0.14,,
quonset_hut/indoor           ,3,3,3,2,3,3,3,2.86,0.14,,
quonset_hut/outdoor          ,3,3,3,2,3,3,3,2.86,0.14,,
temple/east_asia             ,3,3,3,2,3,3,3,2.86,0.14,,
temple/south_asia            ,3,3,3,2,3,3,3,2.86,0.14,,
