24,"donkey","word","animals",0,0,0.03,0,0.03,0.04,0.04,0.08,0.15,0.19,0.29,0.37,0.44,0.47
25,"duck","word","animals",0.15,0,0.22,0.22,0.35,0.38,0.42,0.61,0.68,0.76,0.71,0.83,0.87,0.83
26,"elephant","word","animals",0.04,0,0.03,0.01,0.05,0.06,0.08,0.22,0.27,0.29,0.36,0.5,0.69,0.64
27,"fish","word","animals",0.07,0.14,0.12,0.18,0.25,0.38,0.4,0.49,0.6,0.69,0.57,0.75,0.86,0.83
28,"frog","word","animals",0,0,0.03,0.02,0.08,0.12,0.1,0.21,0.35,0.37,0.39,0.62,0.69,0.75
29,"giraffe","word","animals",0,0,0,0,0.04,0.06,0.11,0.17,0.32,0.32,0.39,0.53,0.63,0.64
30,"goose","word","animals",0,0,0,0,0.03,0.01,0.02,0.03,0.06,0.07,0.25,0.16,0.18,0.31
31,"horse","word","animals",0,0,0.08,0.02,0.08,0.1,0.11,0.26,0.39,0.39,0.5,0.6,0.78,0.72
32,"kitten","word","animals",0,0,0,0,0.02,0.01,0.02,0.08,0.03,0.05,0.21,0.2,0.22,0.36
33,"lamb","word","animals",0,0,0,0,0.02,0.01,0.02,0.08,0.07,0.07,0.21,0.19,0.29,0.36
34,"lion","word","animals",0,0,0.03,0.02,0.07,0.1,0.1,0.23,0.33,0.4,0.46,0.58,0.69,0.75
35,"monkey","word","animals",0,0,0.05,0.06,0.09,0.14,0.14,0.26,0.4,0.45,0.46,0.7,0.72,0.75
36,"mouse","word","animals",0,0,0.03,0,0.05,0.1,0.13,0.17,0.3,0.33,0.39,0.55,0.78,0.72
37,"owl","word","animals",0,0,0.06,0.03,0.08,0.12,0.16,0.25,0.37,0.4,0.54,0.54,0.63,0.64
38,"penguin","word","animals",0,0,0.02,0.02,0.04,0.07,0.08,0.18,0.27,0.25,0.36,0.46,0.52,0.53
39,"pig","word","animals",0,0,0.08,0.02,0.13,0.16,0.21,0.36,0.53,0.55,0.54,0.71,0.78,0.86
40,"pony","word","animals",0,0,0,0,0.01,0.01,0.01,0.05,0.08,0.05,0.11,0.22,0.17,0.44
41,"puppy","word","animals",0,0,0,0,0.03,0.03,0.03,0.08,0.12,0.16,0.39,0.28,0.37,0.44
42,"sheep","word","animals",0,0,0.03,0.01,0.08,0.1,0.13,0.27,0.42,0.56,0.39,0.64,0.77,0.75
43,"spider","word","animals",0,0,0.02,0.01,0.04,0.07,0.13,0.23,0.31,0.4,0.54,0.63,0.7,0.69
44,"squirrel","word","animals",0,0,0,0,0.01,0.02,0.03,0.11,0.15,0.13,0.25,0.33,0.39,0.5
45,"tiger","word","animals",0.04,0.14,0.02,0.02,0.06,0.08,0.12,0.17,0.26,0.21,0.39,0.5,0.59,0.67
46,"turkey","word","animals",0,0,0,0.01,0.01,0,0.02,0.02,0.03,0,0.14,0.1,0.14,0.28
47,"turtle","word","animals",0,0,0.02,0.06,0.08,0.11,0.15,0.2,0.31,0.31,0.29,0.4,0.55,0.53
48,"aeroplane / plane","word","vehicles",0,0,0.02,0.01,0.02,0.06,0.14,0.25,0.31,0.41,0.46,0.56,0.79,0.72
49,"bicycle / bike","word","vehicles",0,0,0.03,0.03,0.06,0.1,0.17,0.27,0.41,0.48,0.5,0.58,0.72,0.69
50,"boat","word","vehicles",0,0,0.06,0.02,0.09,0.17,0.24,0.35,0.53,0.56,0.61,0.73,0.85,0.83
51,"lorry / truck","word","vehicles",0,0,0.03,0.03,0.04,0.05,0.09,0.23,0.26,0.24,0.36,0.48,0.57,0.67
52,"motor-bike","word","vehicles",0,0,0.02,0,0.03,0.06,0.09,0.17,0.25,0.31,0.46,0.48,0.55,0.67
53,"bus","word","vehicles",0.04,0.14,0.05,0.03,0.11,0.2,0.27,0.42,0.57,0.59,0.75,0.68,0.85,0.83
54,"car","word","vehicles",0.07,0.14,0.2,0.24,0.3,0.46,0.53,0.7,0.74,0.75,0.82,0.81,0.94,0.92
55,"fire engine","word","vehicles",0,0,0,0,0.02,0.02,0.03,0.13,0.16,0.09,0.29,0.35,0.43,0.53
56,"pushchair / buggy","word","vehicles",0,0,0.03,0.01,0.08,0.06,0.08,0.2,0.25,0.28,0.36,0.54,0.64,0.61
57,"train","word","vehicles",0,0,0.03,0.01,0.08,0.11,0.15,0.33,0.43,0.61,0.54,0.69,0.83,0.75
58,"ball","word","toys",0.15,0.14,0.23,0.34,0.41,0.59,0.6,0.73,0.83,0.87,0.86,0.89,0.98,0.89
59,"balloon","word","toys",0.04,0,0.11,0.14,0.15,0.23,0.3,0.45,0.58,0.57,0.64,0.76,0.92,0.72
60,"block / brick","word","toys",0,0,0.03,0.02,0.05,0.05,0.09,0.18,0.18,0.21,0.18,0.33,0.39,0.39
61,"book","word","toys",0.04,0,0.22,0.25,0.25,0.43,0.44,0.65,0.71,0.77,0.71,0.82,0.91,0.83
62,"bubble","word","toys",0.07,0,0.12,0.16,0.27,0.41,0.41,0.53,0.69,0.73,0.79,0.8,0.89,0.81
63,"doll","word","toys",0.04,0,0.02,0.02,0.09,0.08,0.15,0.27,0.27,0.37,0.43,0.53,0.6,0.61
64,"pen","word","toys",0,0,0.06,0,0.04,0.1,0.09,0.23,0.3,0.37,0.5,0.56,0.61,0.64
65,"teddy bear","word","toys",0.04,0,0.12,0.09,0.2,0.28,0.27,0.42,0.46,0.6,0.61,0.76,0.83,0.67
66,"toy","word","toys",0,0,0.05,0.02,0.06,0.09,0.12,0.24,0.33,0.35,0.39,0.55,0.68,0.67
67,"apple","word","food_drink",0,0,0.09,0.07,0.12,0.24,0.31,0.5,0.59,0.61,0.75,0.77,0.86,0.72
68,"banana","word","food_drink",0.19,0.14,0.2,0.3,0.42,0.53,0.51,0.63,0.77,0.83,0.86,0.83,0.93,0.75
69,"biscuit","word","food_drink",0,0,0.05,0.1,0.15,0.22,0.22,0.42,0.58,0.59,0.57,0.74,0.83,0.78
70,"bread","word","food_drink",0,0,0.02,0,0.05,0.07,0.14,0.19,0.3,0.35,0.39,0.55,0.61,0.64
71,"butter","word","food_drink",0,0,0,0,0.01,0.02,0.03,0.09,0.17,0.29,0.36,0.38,0.46,0.5
72,"cake","word","food_drink",0,0,0.03,0.03,0.1,0.12,0.23,0.35,0.53,0.6,0.64,0.71,0.89,0.81
73,"carrot","word","food_drink",0,0,0.02,0,0.04,0.06,0.11,0.2,0.27,0.36,0.43,0.53,0.62,0.64
74,"cereal","word","food_drink",0,0,0,0,0.03,0.03,0.06,0.1,0.12,0.31,0.36,0.36,0.4,0.47
75,"cheese","word","food_drink",0.04,0,0.11,0.11,0.24,0.31,0.4,0.47,0.6,0.72,0.64,0.74,0.83,0.72
76,"chicken","word","food_drink",0,0,0.02,0.01,0.03,0.07,0.09,0.22,0.36,0.37,0.36,0.5,0.63,0.58
77,"chips","word","food_drink",0,0,0.02,0.01,0.03,0.07,0.12,0.28,0.38,0.45,0.46,0.52,0.7,0.61
78,"coffee","word","food_drink",0,0,0,0,0.03,0.02,0.01,0.06,0.1,0.12,0.29,0.27,0.26,0.47
79,"drink","word","food_drink",0.04,0,0.12,0.06,0.13,0.17,0.25,0.36,0.45,0.55,0.54,0.72,0.77,0.72
80,"egg","word","food_drink",0,0,0.03,0,0.1,0.1,0.13,0.25,0.39,0.47,0.5,0.54,0.64,0.58
81,"fish","word","food_drink",0,0,0.08,0.14,0.25,0.31,0.36,0.47,0.56,0.69,0.54,0.69,0.85,0.78
82,"food_drink","word","food_drink",0,0,0.02,0.01,0.03,0.09,0.1,0.23,0.28,0.25,0.32,0.43,0.54,0.56
83,"ice cream","word","food_drink",0,0,0.03,0.01,0.02,0.05,0.08,0.18,0.26,0.45,0.39,0.52,0.63,0.56
84,"jam","word","food_drink",0,0,0,0.01,0.03,0.04,0.05,0.16,0.24,0.2,0.36,0.42,0.48,0.44
85,"juice","word","food_drink",0,0,0.12,0.12,0.2,0.28,0.32,0.54,0.62,0.72,0.64,0.75,0.9,0.78
86,"meat","word","food_drink",0,0,0.02,0,0.01,0.02,0.04,0.07,0.12,0.19,0.21,0.22,0.24,0.39
87,"milk","word","food_drink",0.07,0.14,0.16,0.17,0.24,0.27,0.28,0.5,0.58,0.63,0.68,0.73,0.85,0.72
88,"orange","word","food_drink",0,0,0.03,0,0.05,0.1,0.14,0.22,0.33,0.4,0.5,0.62,0.68,0.61
89,"pasta / spaghetti","word","food_drink",0,0,0,0.01,0.06,0.07,0.1,0.22,0.31,0.37,0.39,0.52,0.61,0.53
90,"peas","word","food_drink",0,0,0.02,0.01,0.11,0.18,0.19,0.33,0.4,0.53,0.61,0.54,0.68,0.67
91,"pizza","word","food_drink",0,0,0,0,0.03,0.05,0.04,0.13,0.18,0.2,0.25,0.37,0.48,0.53
92,"sweets","word","food_drink",0,0,0.02,0.01,0.01,0.02,0.03,0.11,0.19,0.23,0.32,0.41,0.4,0.47
93,"tea","word","food_drink",0,0,0.05,0.05,0.11,0.17,0.21,0.31,0.42,0.59,0.61,0.62,0.82,0.56
94,"toast","word","food_drink",0,0,0.05,0.06,0.08,0.21,0.23,0.37,0.46,0.55,0.5,0.65,0.82,0.64
95,"water","word","food_drink",0,0,0.03,0.01,0.09,0.12,0.14,0.27,0.4,0.45,0.68,0.69,0.69,0.78
96,"arm","word","body_parts",0,0,0.03,0.02,0.07,0.09,0.1,0.19,0.31,0.44,0.36,0.56,0.66,0.67
97,"belly button / tummy button","word","body_parts",0,0,0.02,0.01,0.03,0.06,0.08,0.13,0.19,0.28,0.36,0.46,0.51,0.5
98,"cheek","word","body_parts",0,0,0.02,0.01,0.04,0.07,0.09,0.2,0.24,0.28,0.36,0.48,0.49,0.5
99,"ear","word","body_parts",0,0,0.05,0.07,0.14,0.19,0.21,0.39,0.53,0.65,0.61,0.74,0.82,0.81
100,"eye","word","body_parts",0,0,0.08,0.08,0.18,0.28,0.32,0.48,0.6,0.76,0.68,0.81,0.85,0.81
101,"face","word","body_parts",0,0,0.02,0,0.04,0.05,0.05,0.13,0.23,0.35,0.36,0.45,0.55,0.58
102,"finger","word","body_parts",0,0,0.02,0,0.05,0.06,0.05,0.18,0.24,0.33,0.39,0.54,0.71,0.72
103,"foot","word","body_parts",0,0,0.03,0.05,0.08,0.12,0.16,0.27,0.42,0.55,0.46,0.62,0.74,0.69
104,"tongue","word","body_parts",0,0,0,0,0.02,0.04,0.05,0.09,0.12,0.27,0.25,0.39,0.52,0.58
105,"tooth","word","body_parts",0,0,0.05,0.08,0.06,0.17,0.17,0.28,0.38,0.43,0.54,0.51,0.66,0.67
106,"hair","word","body_parts",0,0,0.06,0.07,0.13,0.19,0.2,0.4,0.56,0.65,0.71,0.72,0.8,0.78
107,"hand","word","body_parts",0,0,0.05,0.02,0.05,0.11,0.12,0.23,0.37,0.51,0.46,0.66,0.79,0.75
108,"head","word","body_parts",0,0,0.05,0.05,0.06,0.14,0.14,0.31,0.43,0.47,0.64,0.64,0.77,0.69
109,"knee","word","body_parts",0,0,0.03,0.01,0.06,0.1,0.1,0.22,0.33,0.48,0.57,0.59,0.74,0.61
110,"leg","word","body_parts",0,0,0.02,0,0.02,0.05,0.06,0.13,0.32,0.33,0.39,0.54,0.67,0.53
111,"nail","word","body_parts",0,0,0,0,0.01,0.01,0.02,0.07,0.1,0.13,0.25,0.32,0.33,0.5
112,"nose","word","body_parts",0,0,0.08,0.1,0.19,0.27,0.37,0.47,0.59,0.76,0.75,0.75,0.87,0.75
113,"toe","word","body_parts",0,0,0.02,0.01,0.08,0.14,0.24,0.37,0.43,0.52,0.46,0.62,0.7,0.67
114,"tummy","word","body_parts",0,0,0.03,0.03,0.04,0.12,0.14,0.28,0.37,0.52,0.5,0.66,0.75,0.58
115,"mouth","word","body_parts",0,0,0.05,0.03,0.09,0.13,0.15,0.33,0.4,0.56,0.57,0.63,0.77,0.67
116,"bib","word","clothing",0,0,0.03,0.05,0.1,0.1,0.14,0.23,0.31,0.41,0.36,0.5,0.56,0.56
117,"boot(s)","word","clothing",0,0,0.02,0.02,0.09,0.1,0.14,0.29,0.35,0.48,0.5,0.59,0.71,0.67
118,"button","word","clothing",0,0,0.05,0.02,0.11,0.1,0.14,0.17,0.24,0.32,0.32,0.5,0.55,0.53
119,"coat","word","clothing",0,0,0.02,0.01,0.1,0.13,0.2,0.34,0.44,0.57,0.46,0.64,0.76,0.67
120,"dress","word","clothing",0,0,0,0.02,0.03,0.03,0.05,0.1,0.15,0.16,0.25,0.35,0.38,0.47
121,"glasses / specs","word","clothing",0,0,0,0.02,0.07,0.05,0.12,0.16,0.22,0.33,0.39,0.5,0.61,0.5
122,"hat","word","clothing",0,0,0.09,0.11,0.14,0.25,0.38,0.5,0.62,0.71,0.71,0.78,0.87,0.83
123,"jacket","word","clothing",0,0,0,0,0,0.02,0.03,0.1,0.07,0.11,0.21,0.32,0.37,0.36
124,"jeans","word","clothing",0,0,0,0,0.01,0.03,0.04,0.07,0.12,0.11,0.14,0.27,0.33,0.39
125,"jumper / sweater","word","clothing",0,0,0,0,0.03,0.04,0.04,0.11,0.15,0.27,0.29,0.44,0.52,0.5
126,"nappy","word","clothing",0,0,0.03,0.03,0.08,0.14,0.21,0.34,0.4,0.59,0.68,0.68,0.77,0.81
127,"necklace","word","clothing",0,0,0,0.01,0.03,0.04,0.03,0.08,0.09,0.12,0.18,0.29,0.33,0.36
128,"pyjamas","word","clothing",0,0,0,0.01,0.03,0.03,0.07,0.13,0.19,0.24,0.36,0.47,0.57,0.53
129,"shirt","word","clothing",0,0,0,0.01,0,0.02,0.03,0.04,0.07,0.12,0.18,0.21,0.3,0.36
130,"shoe","word","clothing",0.04,0,0.17,0.16,0.36,0.43,0.47,0.63,0.72,0.83,0.75,0.82,0.92,0.86
131,"shorts","word","clothing",0,0,0,0,0,0.01,0,0.04,0.08,0.13,0.21,0.27,0.38,0.44
132,"sock","word","clothing",0,0,0.14,0.09,0.16,0.24,0.27,0.45,0.59,0.64,0.68,0.75,0.82,0.83
133,"trousers","word","clothing",0,0,0.02,0.03,0.04,0.06,0.08,0.18,0.19,0.39,0.36,0.5,0.56,0.47
134,"zip","word","clothing",0,0,0.02,0,0.07,0.06,0.08,0.14,0.14,0.27,0.29,0.39,0.47,0.42
135,"bath / bathtub","word","clothing",0,0,0.16,0.16,0.21,0.27,0.29,0.5,0.6,0.68,0.64,0.71,0.78,0.72
136,"bathroom","word","furniture_rooms",0,0,0,0.01,0.02,0.02,0.04,0.06,0.11,0.23,0.29,0.38,0.44,0.47
137,"bed","word","furniture_rooms",0,0.14,0.06,0.07,0.09,0.15,0.21,0.42,0.51,0.59,0.64,0.71,0.83,0.75
138,"bedroom","word","furniture_rooms",0,0,0,0,0.03,0.02,0.04,0.06,0.1,0.19,0.25,0.38,0.52,0.47
139,"chair","word","furniture_rooms",0,0,0.06,0.05,0.09,0.14,0.25,0.34,0.47,0.56,0.57,0.67,0.84,0.69
140,"cooker / stove / oven","word","furniture_rooms",0,0,0.02,0,0.03,0.01,0.02,0.05,0.12,0.17,0.25,0.29,0.4,0.44
141,"cot","word","furniture_rooms",0,0,0,0.01,0.03,0.05,0.13,0.16,0.21,0.36,0.36,0.43,0.57,0.44
142,"door","word","furniture_rooms",0,0,0.12,0.08,0.17,0.26,0.26,0.47,0.54,0.75,0.82,0.8,0.84,0.81
143,"drawer","word","furniture_rooms",0,0,0,0.01,0.03,0.01,0.02,0.04,0.08,0.16,0.21,0.23,0.26,0.36
144,"garage","word","furniture_rooms",0,0,0,0,0,0,0.02,0.02,0.06,0.01,0.11,0.17,0.23,0.39
145,"high chair","word","furniture_rooms",0,0,0.02,0.01,0.03,0.02,0.06,0.2,0.17,0.27,0.25,0.38,0.51,0.47
146,"kitchen","word","furniture_rooms",0,0,0,0,0.01,0.04,0.06,0.12,0.24,0.24,0.39,0.46,0.6,0.56
147,"living room","word","furniture_rooms",0,0,0,0,0.01,0.01,0.02,0.06,0.07,0.13,0.11,0.25,0.37,0.36
148,"play pen","word","furniture_rooms",0,0,0,0,0,0.01,0,0.03,0.03,0,0.04,0.04,0.03,0.08
149,"potty","word","furniture_rooms",0,0,0,0.01,0.04,0.07,0.1,0.19,0.25,0.4,0.36,0.54,0.55,0.61
150,"refrigerator / fridge","word","furniture_rooms",0,0,0,0,0,0.02,0.04,0.05,0.1,0.16,0.29,0.23,0.38,0.36
151,"rocking chair","word","furniture_rooms",0,0,0,0,0.01,0.01,0,0.02,0.05,0.03,0.14,0.1,0.1,0.08
152,"settee / sofa","word","furniture_rooms",0,0,0.02,0,0.03,0.02,0.06,0.09,0.15,0.23,0.25,0.38,0.51,0.56
153,"sink","word","furniture_rooms",0,0,0,0,0,0.03,0.03,0.06,0.08,0.2,0.14,0.31,0.37,0.47
154,"stairs","word","furniture_rooms",0,0,0.03,0.03,0.09,0.12,0.17,0.28,0.45,0.44,0.46,0.62,0.72,0.64
155,"table","word","furniture_rooms",0,0,0.03,0,0.03,0.07,0.07,0.21,0.23,0.36,0.36,0.5,0.63,0.58
156,"TV / television","word","furniture_rooms",0,0,0.03,0,0.03,0.05,0.08,0.17,0.26,0.4,0.39,0.55,0.7,0.67
157,"window","word","furniture_rooms",0,0,0.02,0.01,0.02,0.06,0.06,0.13,0.16,0.21,0.39,0.48,0.57,0.53
158,"beach","word","outside",0,0,0,0,0.02,0.03,0.06,0.14,0.22,0.21,0.32,0.4,0.51,0.56
159,"bucket","word","outside",0,0,0,0,0.02,0.02,0.04,0.1,0.17,0.21,0.29,0.46,0.51,0.44
160,"church","word","outside",0,0,0,0,0.01,0.01,0,0.03,0.01,0.07,0.11,0.09,0.21,0.19
161,"flower","word","outside",0,0,0.03,0.07,0.12,0.16,0.26,0.38,0.47,0.53,0.57,0.64,0.76,0.72
162,"garden","word","outside",0,0,0,0.01,0.01,0.06,0.1,0.15,0.23,0.31,0.39,0.51,0.57,0.64
163,"house","word","outside",0,0,0,0,0.07,0.06,0.08,0.25,0.36,0.43,0.43,0.62,0.72,0.58
164,"moon","word","outside",0,0,0.02,0.02,0.11,0.13,0.15,0.28,0.31,0.39,0.64,0.61,0.7,0.67
165,"sky","word","outside",0,0,0,0,0.02,0.04,0.09,0.17,0.23,0.21,0.46,0.45,0.53,0.58
166,"slide","word","outside",0,0,0.02,0.01,0.03,0.05,0.12,0.21,0.33,0.44,0.39,0.62,0.69,0.64
167,"snow","word","outside",0,0,0,0,0,0.03,0.04,0.06,0.08,0.12,0.18,0.29,0.21,0.31
168,"spade","word","outside",0,0,0,0,0.01,0.01,0.04,0.1,0.1,0.11,0.21,0.29,0.45,0.42
169,"star","word","outside",0,0,0.06,0.07,0.1,0.2,0.24,0.39,0.5,0.53,0.64,0.68,0.86,0.72
170,"stone","word","outside",0,0,0.02,0,0.01,0.04,0.08,0.17,0.27,0.31,0.39,0.44,0.59,0.58
171,"sun","word","outside",0,0,0.02,0.01,0.04,0.06,0.08,0.17,0.25,0.32,0.39,0.52,0.64,0.64
172,"outside","word","outside",0,0,0,0,0.03,0.06,0.09,0.18,0.2,0.33,0.54,0.52,0.63,0.58
173,"park","word","outside",0,0,0.03,0.01,0.04,0.11,0.13,0.26,0.38,0.52,0.43,0.6,0.72,0.67
174,"party","word","outside",0,0,0,0,0,0.02,0.03,0.06,0.1,0.12,0.18,0.28,0.43,0.47
175,"pool","word","outside",0,0,0,0,0,0.02,0.04,0.06,0.17,0.19,0.21,0.39,0.41,0.47
176,"rain","word","outside",0,0,0.02,0,0.02,0.05,0.1,0.24,0.33,0.32,0.57,0.6,0.72,0.69
177,"school","word","outside",0,0,0.02,0,0,0.01,0.03,0.06,0.16,0.13,0.11,0.23,0.28,0.36
178,"shop","word","outside",0,0,0.02,0,0.03,0.04,0.08,0.13,0.26,0.27,0.43,0.51,0.62,0.61
179,"swing","word","outside",0,0,0.05,0.02,0.03,0.07,0.12,0.18,0.33,0.44,0.39,0.54,0.61,0.64
180,"tree","word","outside",0,0,0.08,0.06,0.08,0.16,0.24,0.35,0.5,0.57,0.57,0.71,0.8,0.72
181,"wall","word","outside",0,0,0.02,0,0,0.03,0.05,0.12,0.18,0.21,0.32,0.31,0.39,0.56
182,"water","word","outside",0,0,0.03,0.01,0.06,0.13,0.16,0.24,0.37,0.44,0.57,0.64,0.69,0.81
183,"work","word","outside",0,0,0,0,0.05,0.04,0.08,0.15,0.23,0.28,0.32,0.48,0.52,0.64
184,"zoo","word","outside",0,0,0,0,0.01,0.01,0.05,0.06,0.13,0.15,0.18,0.22,0.33,0.47
185,"bin","word","household",0,0,0,0.01,0.07,0.12,0.15,0.33,0.35,0.53,0.57,0.66,0.72,0.75
186,"blanket","word","household",0,0,0.02,0,0.05,0.07,0.08,0.17,0.23,0.37,0.36,0.51,0.62,0.61
187,"bottle","word","household",0,0,0.06,0.02,0.08,0.12,0.19,0.28,0.37,0.41,0.5,0.57,0.66,0.67
188,"bowl","word","household",0,0,0,0.01,0.09,0.08,0.15,0.28,0.4,0.35,0.5,0.6,0.68,0.56
189,"box","word","household",0,0,0,0,0.05,0.04,0.07,0.18,0.23,0.24,0.46,0.46,0.55,0.53
190,"broom","word","household",0,0,0,0.01,0,0.01,0.03,0.02,0.04,0.08,0.07,0.14,0.18,0.22
191,"brush","word","household",0,0,0.02,0.03,0.04,0.08,0.07,0.18,0.24,0.32,0.36,0.47,0.57,0.61
192,"clock","word","household",0,0,0.08,0.05,0.11,0.11,0.11,0.23,0.32,0.33,0.43,0.51,0.61,0.56
193,"comb","word","household",0,0,0,0,0,0,0.01,0.02,0.04,0.05,0.11,0.16,0.25,0.31
194,"cup","word","household",0,0,0.05,0.01,0.06,0.13,0.19,0.3,0.44,0.52,0.39,0.6,0.74,0.67
195,"dish","word","household",0,0,0,0,0.01,0.01,0.03,0.06,0.07,0.12,0.11,0.25,0.18,0.33
196,"dummy","word","household",0.07,0,0.05,0.07,0.06,0.13,0.13,0.2,0.22,0.19,0.21,0.34,0.38,0.44
197,"fork","word","household",0,0,0,0.01,0.03,0.07,0.13,0.23,0.31,0.48,0.46,0.53,0.68,0.61
198,"glass","word","household",0,0,0,0,0.01,0.01,0.02,0.06,0.08,0.12,0.18,0.28,0.31,0.39
199,"hammer","word","household",0,0,0,0,0.01,0.02,0.04,0.05,0.08,0.11,0.18,0.27,0.32,0.36
200,"hoover / vacuum","word","household",0,0,0.03,0,0.03,0.05,0.09,0.21,0.19,0.24,0.25,0.4,0.48,0.53
201,"jug","word","household",0,0,0,0,0.01,0.01,0.02,0.05,0.06,0.03,0.18,0.18,0.13,0.28
202,"key","word","household",0,0,0.08,0.09,0.13,0.21,0.26,0.48,0.48,0.6,0.54,0.67,0.75,0.64
203,"lamp","word","household",0,0,0.02,0,0.01,0.02,0.01,0.02,0.03,0.05,0.11,0.17,0.14,0.33
204,"light","word","household",0,0,0.05,0.03,0.11,0.13,0.18,0.27,0.35,0.44,0.46,0.63,0.68,0.78
205,"medicine","word","household",0,0,0,0.01,0.03,0.03,0.04,0.12,0.14,0.19,0.18,0.34,0.43,0.44
206,"money","word","household",0,0,0,0,0.03,0.02,0.03,0.11,0.15,0.29,0.25,0.38,0.49,0.58
207,"mug","word","household",0,0,0.02,0,0,0.01,0.02,0.01,0.02,0.04,0.07,0.12,0.16,0.17
208,"paper","word","household",0,0,0.02,0,0.03,0.07,0.05,0.2,0.2,0.29,0.36,0.47,0.57,0.61
209,"penny","word","household",0,0,0,0,0,0.02,0.01,0.07,0.09,0.08,0.14,0.24,0.25,0.36
210,"picture","word","household",0,0,0.02,0.01,0,0.04,0.06,0.13,0.15,0.17,0.21,0.39,0.49,0.56
211,"pillow","word","household",0,0,0,0,0.02,0.02,0.01,0.05,0.15,0.12,0.25,0.36,0.41,0.5
212,"plant","word","household",0,0,0.02,0,0.02,0.03,0.03,0.05,0.06,0.05,0.18,0.23,0.25,0.33
213,"plate","word","household",0,0,0,0,0,0.04,0.07,0.15,0.18,0.29,0.32,0.46,0.53,0.53
214,"purse","word","household",0,0,0,0,0.02,0.02,0.03,0.06,0.1,0.08,0.18,0.21,0.28,0.33
215,"radio","word","household",0,0,0,0,0.01,0.01,0.01,0.04,0.06,0.08,0.11,0.14,0.2,0.28
216,"rubbish","word","household",0,0,0,0,0.01,0.03,0.04,0.07,0.12,0.13,0.18,0.36,0.4,0.42
217,"scissors","word","household",0,0,0,0,0.03,0.02,0.02,0.04,0.06,0.07,0.14,0.24,0.36,0.36
218,"soap","word","household",0,0,0,0,0.01,0.03,0.03,0.06,0.17,0.2,0.25,0.34,0.41,0.53
219,"spoon","word","household",0,0,0.05,0.08,0.12,0.19,0.15,0.4,0.49,0.64,0.61,0.68,0.77,0.69
