scene,rater1,rater2,rater3,rater4,rater5
chuck_wagon                  ,3,2,2,2,2
church/indoor                ,4,2,3,4,2
church/outdoor               ,4,2,3,4,2
circus_tent/indoor           ,5,5,5,5,5
circus_tent/outdoor          ,5,5,5,5,5
city                         ,4,5,3,5,5
classroom                    ,5,5,5,5,5
clean_room                   ,2,2,3,3,2
cliff                        ,1,2,2,3,2
cloakroom/booth              ,2,2,2,1,2
cloakroom/room               ,2,2,2,2,2
clock_tower/indoor           ,2,2,2,2,2
cloister/indoor              ,3,2,2,2,2
cloister/outdoor             ,3,2,2,2,2
closet                       ,4,3,2,3,3
clothing_store               ,4,3,3,4,3
coast                        ,4,4,3,4,4
coast_road                   ,2,3,3,3,3
cockpit                      ,2,3,2,2,3
cocktail_lounge              ,2,1,1,1,1
coffee_shop                  ,4,3,2,2,3
computer_room                ,3,3,3,3,3
conference_center            ,3,2,2,2,2
conference_hall              ,3,2,2,2,2
conference_room              ,3,2,2,2,2
confessional                 ,3,2,2,2,2
construction_site            ,1,1,1,1,1
control_room                 ,1,2,1,1,2
control_tower/indoor         ,1,1,1,1,1
control_tower/outdoor        ,1,1,1,1,1
convenience_store/indoor     ,4,4,2,2,4
convenience_store/outdoor    ,4,4,2,2,4
corn_field                   ,4,3,3,3,3
corner                       ,3,3,2,3,3
corral                       ,3,3,2,3,3
corridor                     ,3,3,3,3,3
cottage                      ,5,3,3,3,3
cottage_garden               ,5,3,3,3,3
country_house                ,4,3,3,3,3
country_road                 ,3,3,3,3,3
courthouse                   ,3,2,2,3,2
courtroom                    ,3,2,2,2,2
courtyard                    ,4,3,3,2,3
covered_bridge/exterior      ,3,2,3,2,2
covered_bridge/interior      ,3,2,3,2,2
crane                        ,1,2,2,1,2
crawl_space                  ,2,5,2,2,5
creek                        ,4,2,3,3,2
crevasse                     ,2,2,3,2,2
crosswalk                    ,2,2,3,4,2
cubicle/library              ,3,2,3,3,2
cubicle/office               ,3,2,2,2,2
customhouse                  ,3,2,2,2,2
cybercafe                    ,4,2,2,2,2
dacha                        ,3,3,2,3,3
dairy/indoor                 ,2,3,3,2,3
dairy/outdoor                ,2,3,3,2,3
dam                          ,1,3,3,2,3
dance_floor                  ,4,3,2,2,3
dance_school                 ,5,3,3,4,3
darkroom                     ,2,2,2,2,2
day_care_center              ,5,5,5,5,5
deck-house_boat_deck_house   ,3,3,3,2,3
deck-house_deck_house        ,3,3,3,2,3
delicatessen                 ,5,2,3,3,2
dentists_office              ,4,3,3,4,3
department_store             ,4,3,3,4,3
departure_lounge             ,4,3,3,2,3
desert/sand                  ,2,2,3,2,2
desert/vegetation            ,2,2,3,2,2
desert_road                  ,2,2,3,2,2
diner/indoor                 ,3,4,3,3,4
diner/outdoor                ,3,4,3,3,4
dinette/home                 ,3,4,3,4,4
dinette/vehicle              ,2,4,3,4,4
dining_area                  ,3,3,3,4,3
dining_car                   ,4,3,3,3,3
dining_hall                  ,4,3,3,3,3
dining_room                  ,4,3,3,3,3
dirt_track                   ,3,2,3,2,2
discotheque                  ,2,1,2,2,1
distillery                   ,1,2,2,1,2
ditch                        ,3,2,2,2,2
diving_board                 ,3,2,3,4,2
dock                         ,3,2,3,3,2
dolmen                       ,3,2,3,1,2
donjon                       ,3,2,3,2,2
doorway/indoor               ,3,3,3,4,3
doorway/outdoor              ,3,3,3,4,3
dorm_room                    ,4,3,3,2,3
downtown                     ,3,4,3,3,4
drainage_ditch               ,2,1,3,1,1
dress_shop                   ,3,2,3,2,2
dressing_room                ,4,3,3,3,3
drill_rig                    ,1,1,1,1,1
driveway                     ,4,3,3,3,3
driving_range/indoor         ,3,2,2,2,2
driving_range/outdoor        ,3,2,2,2,2
drugstore                    ,4,3,3,3,3
dry_dock                     ,3,2,2,2,2
dugout                       ,3,2,3,3,2
earth_fissure                ,1,2,2,3,2
editing_room                 ,2,2,2,2,2
electrical_substation        ,1,2,1,1,2
elevated_catwalk             ,1,2,2,2,2
elevator/door                ,3,3,3,3,3
elevator/exterior            ,3,3,3,3,3
elevator/freight_elevator    ,2,1,2,2,1
elevator/interior            ,4,3,3,3,3
elevator_lobby               ,4,3,3,3,3
elevator_shaft               ,1,1,1,1,1
embankment                   ,3,2,2,2,2
embassy                      ,3,3,2,3,3
embrasure                    ,3,2,2,1,2
engine_room                  ,2,1,2,2,1
entrance_hall                ,4,3,3,3,3
entranceway_indoor           ,4,3,3,3,3
entranceway_outdoor          ,4,3,3,3,3
entryway_outdoor             ,4,3,3,3,3
escalator/indoor             ,3,3,3,4,3
escalator/outdoor            ,3,3,3,4,3
escarpment                   ,2,2,2,2,2
estaminet                    ,3,2,2,3,2
estuary                      ,3,1,3,3,1
excavation                   ,2,1,2,2,1
exhibition_hall              ,3,3,3,3,3
fabric_store                 ,3,2,3,3,2
factory/indoor               ,2,2,2,1,2
factory/outdoor              ,2,2,2,1,2
fairway                      ,3,3,2,3,3
farm                         ,4,4,3,3,4
farm_building                ,4,3,3,3,3
farmhouse                    ,4,3,3,3,3
fastfood_restaurant          ,5,4,4,5,4
feed_bunk                    ,3,2,3,2,2
fence                        ,3,2,3,3,2
ferryboat/cargo_deck         ,2,1,2,2,1
ferryboat/indoor             ,3,3,3,3,3
ferryboat/passenger_deck     ,5,3,3,4,3
field/cultivated             ,4,2,3,3,2
field/wild                   ,4,2,3,2,2
field_house                  ,4,2,3,3,2
field_road                   ,3,2,3,2,2
field_tent_indoor            ,3,2,4,2,2
field_tent_outdoor           ,3,2,4,2,2
fire_escape                  ,2,1,2,2,1
fire_station                 ,2,2,2,2,2
fire_trench                  ,2,1,2,1,1
firebreak                    ,2,1,2,2,1
fireplace                    ,3,2,3,2,2
firing_range/indoor          ,1,2,2,2,2
firing_range/outdoor         ,1,2,2,3,2
fish_farm                    ,2,2,2,2,2
fishmarket                   ,3,3,3,3,3
fishpond                     ,3,3,4,3,3
fitting_room/exterior        ,3,3,2,4,3
fitting_room/interior        ,3,3,2,4,3
fjord                        ,4,2,3,3,2
flashflood                   ,3,2,2,3,2
flatlet                      ,3,3,2,2,3
flea_market/indoor           ,4,4,3,2,4
flea_market/outdoor          ,4,4,3,2,4
flight_of_stairs/natural     ,4,3,3,2,3
flight_of_stairs/urban       ,4,3,3,3,3
floating_dock                ,3,2,4,3,2
floating_dry_dock            ,3,2,3,2,2
flood                        ,1,2,2,3,2
flood_plain                  ,3,2,2,3,2
florist_shop/indoor          ,4,3,3,3,3
florist_shop/outdoor         ,4,3,3,3,3
flowerbed                    ,4,3,3,3,3
flume_indoor                 ,3,2,3,3,2
fly_bridge                   ,3,2,3,3,2
flying_buttress              ,2,2,3,2,2
food_court                   ,5,3,4,4,3
football_field               ,5,4,4,3,4
foothill                     ,4,3,3,3,3
forecourt                    ,3,2,3,3,2
foreshore                    ,3,2,3,3,2
forest/broadleaf             ,4,2,3,3,2
forest/needleleaf            ,4,2,3,3,2
forest_fire                  ,1,1,1,2,1
forest_path                  ,4,2,3,3,2
forest_road                  ,4,2,3,2,2
forklift                     ,3,2,1,1,2
formal_garden                ,4,2,2,2,2
fort                         ,3,2,2,2,2
fortress                     ,3,2,2,2,2
foundry/indoor               ,1,2,1,1,2
foundry/outdoor              ,1,2,1,1,2
fountain                     ,4,4,4,3,4
freeway                      ,2,3,2,3,3
front_porch                  ,3,3,3,3,3
funeral_chapel               ,2,2,2,2,2
funeral_home                 ,2,2,2,2,2
furnace_room                 ,2,2,2,1,2
galley                       ,3,4,2,2,4
gallows                      ,1,1,1,1,1
game_room                    ,5,2,5,4,2
gangplank                    ,3,2,2,2,2
garage/indoor                ,3,3,3,3,3
garage/outdoor               ,3,3,3,3,3
garbage_dump                 ,2,2,2,1,2
garden                       ,3,3,3,3,3
gas_station                  ,4,3,2,3,3
gas_well                     ,2,1,1,1,1
gasworks                     ,3,1,1,1,1
gate                         ,3,3,3,3,3
gatehouse                    ,3,2,3,1,2
gazebo/exterior              ,5,2,3,3,2
gazebo/interior              ,5,2,3,3,2
general_store/indoor         ,4,4,3,3,4
general_store/outdoor        ,4,4,3,3,4
geodesic_dome/indoor         ,3,2,3,3,2
geodesic_dome/outdoor        ,3,2,3,3,2
ghost_town                   ,2,1,2,3,1
gift_shop                    ,3,4,4,3,4
glacier                      ,2,2,2,3,2
glade                        ,4,2,3,3,2
glen                         ,4,2,3,2,2
golf_course                  ,4,2,3,2,2
gorge                        ,2,2,3,3,2
granary                      ,3,2,3,1,2
grape_arbor                  ,3,2,3,3,2
grave                        ,2,2,2,2,2
great_hall                   ,3,3,3,2,3
greengrocery                 ,4,3,3,3,3
greenhouse/indoor            ,4,2,3,3,2
greenhouse/outdoor           ,4,2,3,3,2
grotto                       ,4,2,3,2,2
grove                        ,4,2,3,3,2
guardhouse                   ,2,2,3,1,2
guardroom                    ,2,2,3,1,2
guesthouse                   ,4,3,3,2,3
guildhall                    ,3,2,3,2,2
gulch                        ,3,2,3,2,2
gun_deck/indoor              ,1,1,2,1,1
gun_deck/outdoor             ,1,1,2,1,1
gun_store                    ,1,1,2,2,1
gymnasium/indoor             ,5,5,4,4,5
gymnasium_outdoor            ,5,5,4,4,5
hacienda                     ,3,3,3,2,3
hallway                      ,5,3,3,3,3
hammock                      ,5,3,4,3,3
handball_court               ,4,3,4,4,3
hangar/indoor                ,2,2,3,2,2
hangar/outdoor               ,2,2,3,2,2
harbor                       ,3,3,3,2,3
hardware_store               ,3,4,3,2,4
hat_shop                     ,3,2,3,2,2
hatchery                     ,3,2,3,1,2
hatchway                     ,3,2,3,2,2
hayfield                     ,4,2,3,3,2
hayloft                      ,3,2,3,3,2
head_shop                    ,3,2,2,1,2
hearth                       ,4,2,3,3,2
heath                        ,4,3,3,3,3
hedge_maze                   ,5,4,3,3,4
hedgerow                     ,4,3,3,3,3
heliport                     ,2,2,3,2,2
hen_yard                     ,3,2,3,2,2
herb_garden                  ,4,2,3,3,2
heronry                      ,3,2,3,3,2
highway                      ,2,3,2,3,3
hill                         ,4,2,3,3,2
hillock                      ,4,2,3,3,2
hollow                       ,4,2,3,3,2
home_office                  ,4,2,2,2,2
home_theater                 ,5,3,4,3,3
hoodoo                       ,3,1,3,3,1
hospital                     ,4,3,2,3,3
hospital_room                ,4,3,2,2,3
hot_spring                   ,4,2,3,2,2
hot_tub/indoor               ,4,2,2,3,2
hot_tub/outdoor              ,4,2,2,3,2
hotel/outdoor                ,5,3,3,4,3
hotel_breakfast_area         ,5,3,3,4,3
hotel_room                   ,5,3,3,3,3
house                        ,5,3,3,5,3
housing_estate               ,4,3,3,3,3
housing_project              ,4,3,3,3,3
howdah                       ,3,2,2,2,2
hunting_lodge/indoor         ,3,2,2,2,2
hunting_lodge/outdoor        ,3,2,2,2,2
hut                          ,5,2,3,2,2
hutment                      ,3,2,3,2,2
ice_cream_parlor             ,5,5,4,5,5
ice_floe                     ,1,3,2,1,3
ice_shelf                    ,2,3,2,2,3
ice_skating_rink/indoor      ,5,5,4,5,5
ice_skating_rink/outdoor     ,5,5,4,5,5
iceberg                      ,1,2,2,1,2
igloo                        ,4,4,3,2,4
imaret                       ,3,2,3,1,2
incinerator/indoor           ,1,2,2,1,2
incinerator/outdoor          ,1,2,2,1,2
industrial_area              ,2,2,1,1,2
industrial_park              ,2,2,1,1,2
inlet                        ,3,2,2,2,2
inn/indoor                   ,5,3,3,2,3
inn/outdoor                  ,5,3,3,2,3
insane_asylum                ,1,2,1,1,2
irrigation_ditch             ,3,1,3,1,1
islet                        ,3,2,3,2,2
jacuzzi/indoor               ,4,2,2,3,2
jacuzzi/outdoor              ,4,2,2,3,2
jail/indoor                  ,1,1,1,2,1
jail/outdoor                 ,1,1,1,2,1
jail_cell                    ,1,1,1,1,1
japanese_garden              ,4,3,3,3,3
jetliner/outside             ,2,2,3,2,2
jetty                        ,3,3,3,2,3
jewelry_shop                 ,3,2,3,2,2
joss_house                   ,3,3,3,2,3
juke_joint                   ,3,1,2,1,1
jumbo_jet/outdoor            ,2,2,3,2,2
jungle                       ,3,2,3,2,2
junk_pile                    ,2,2,2,2,2
junkyard                     ,2,2,2,2,2
jury_box                     ,2,1,1,1,1
kasbah                       ,2,2,1,1,2
kennel/indoor                ,3,3,2,2,3
kennel/outdoor               ,3,3,2,2,3
kindergarden_classroom       ,5,5,5,5,5
kiosk/indoor                 ,4,4,3,2,4
kiosk/outdoor                ,4,4,3,2,4
kitchen                      ,5,4,3,2,4
kitchenette                  ,5,4,3,2,4
kraal                        ,3,4,3,3,4
lab_classroom                ,2,5,4,5,5
laboratorywet                ,2,3,2,3,3
labyrinth/indoor             ,4,5,3,1,5
labyrinth/outdoor            ,4,5,3,1,5
lagoon                       ,3,3,3,2,3
lair                         ,3,2,1,1,2
lake/artificial              ,5,3,3,2,3
lake/natural                 ,5,3,3,3,3
landfill                     ,2,2,1,2,2
landing                      ,3,2,3,3,2
landing_deck                 ,2,2,2,2,2
landing_strip                ,2,1,2,2,1
launchpad                    ,2,2,2,1,2
laundromat                   ,4,4,3,3,4
lava_flow                    ,1,1,1,1,1
lavatory                     ,5,4,3,3,4
lawn                         ,5,3,3,4,3
layby                        ,3,2,3,3,2
lean-to                      ,4,2,3,2,2
lean-to_tent                 ,4,2,3,2,2
lecture_room                 ,4,2,4,3,2
legislative_chamber          ,2,1,2,1,1
levee                        ,3,2,2,1,2
library/indoor               ,5,4,3,3,4
library/outdoor              ,5,4,3,3,4
lido_deck/indoor             ,3,3,3,5,3
lido_deck/outdoor            ,3,3,3,5,3
lift_bridge                  ,3,2,3,2,2
lighthouse                   ,3,3,3,2,3
limousine_interior           ,3,2,2,2,2
liquor_store/indoor          ,2,1,1,1,1
liquor_store/outdoor         ,2,1,1,1,1
living_room                  ,5,3,3,5,3
loading_dock                 ,2,2,3,1,2
lobby                        ,5,2,3,3,2
lock_chamber                 ,3,2,2,1,2
locker_room                  ,4,2,3,3,2
loft                         ,3,3,3,3,3
loge                         ,3,2,3,2,2
loggia/outdoor               ,3,2,3,3,2
loo                          ,5,4,3,3,4
lookout_station/indoor       ,3,3,3,1,3
lookout_station/outdoor      ,3,3,3,1,3
lower_deck                   ,3,2,3,1,2
luggage_van                  ,4,2,2,1,2
lumberyard/indoor            ,2,2,2,1,2
lumberyard/outdoor           ,2,2,2,1,2
lyceum                       ,3,3,3,5,3
machine_shop                 ,2,2,2,1,2
manhole                      ,3,1,1,1,1
mansard                      ,3,2,2,2,2
mansion                      ,4,2,3,2,3
manufactured_home            ,5,2,3,3,3
market/indoor                ,5,4,3,3,4
market/outdoor               ,5,4,3,3,4
marsh                        ,3,3,3,2,3
martial_arts_gym             ,5,4,3,4,4
mastaba                      ,3,2,3,2,2
maternity_ward               ,5,5,3,5,5
mausoleum                    ,2,3,2,2,3
meadow                       ,5,3,3,2,3
meat_house                   ,2,2,3,2,2
medina                       ,3,2,3,2,2
megalith                     ,3,2,3,2,2
menhir                       ,3,1,3,2,1
mens_store_outdoor           ,3,2,3,2,2
mental_institution/indoor    ,3,2,2,2,2
mental_institution/outdoor   ,3,2,2,2,2
merlon                       ,3,2,3,2,2
mesa                         ,4,3,3,3,3
mess_hall                    ,4,2,3,3,2
mews                         ,3,2,3,2,2
mezzanine                    ,4,2,3,3,2
military_headquarters        ,2,1,2,2,1
military_hospital            ,2,1,2,2,1
military_hut                 ,2,1,2,1,1
military_tent                ,2,1,2,1,1
mill                         ,3,2,3,1,2
millpond                     ,3,2,3,2,2
millrace                     ,3,2,3,2,2
mine                         ,1,1,2,1,1
mineshaft                    ,1,1,1,1,1
mini_golf_course/indoor      ,5,4,4,5,4
mini_golf_course/outdoor     ,5,4,4,5,4
mission                      ,3,2,3,3,2
moat/dry                     ,3,2,3,2,2
moat/water                   ,3,2,3,2,2
mobile_home                  ,4,3,3,3,3
monastery/indoor             ,4,2,2,2,2
monastery/outdoor            ,4,2,2,2,2
moon_bounce                  ,5,5,5,5,5
moor                         ,4,2,3,2,2
morass                       ,3,2,2,2,2
morgue                       ,1,2,2,1,2
mosque/indoor                ,3,3,3,3,3
mosque/outdoor               ,3,3,3,3,3
motel                        ,5,2,3,2,2
mountain                     ,3,2,3,2,2
mountain_path                ,3,2,3,2,2
mountain_road                ,3,2,3,2,2
mountain_snowy               ,3,4,3,2,4
movie_theater/indoor         ,5,3,4,5,3
movie_theater/outdoor        ,5,3,4,5,3
mudflat                      ,3,2,3,2,2
museum/indoor                ,5,4,4,3,4
museum/outdoor               ,5,4,4,3,4
music_store                  ,4,2,3,4,2
music_studio                 ,3,2,3,2,2
natural_history_museum       ,5,5,4,5,5
natural_spring               ,4,3,3,2,3
naval_base                   ,3,1,2,2,1
newsroom                     ,3,1,2,2,1
newsstand/indoor             ,4,3,3,2,3
newsstand/outdoor            ,4,3,3,3,3
nightclub                    ,2,1,1,1,1
nook                         ,4,3,2,2,3
nuclear_power_plant/indoor   ,2,1,1,1,1
nuclear_power_plant/outdoor  ,2,1,1,1,1
nuclear_submarine/outdoor    ,2,1,1,1,1
nunnery                      ,4,2,2,2,2
nursery                      ,5,5,4,4,5
nursing_home                 ,4,2,2,3,2
nursing_home_outdoor         ,4,2,2,3,2
oasis                        ,4,2,3,2,2
oast_house                   ,3,2,3,2,3
observation_station          ,3,2,3,2,3
observatory/indoor           ,3,2,3,3,2
observatory/outdoor          ,3,2,3,3,2
observatory_post             ,3,2,3,2,3
ocean                        ,5,2,3,3,2
oceanfront                   ,5,3,3,4,3
office                       ,3,1,2,2,1
office_building              ,3,1,2,3,1
office_cubicles              ,3,1,2,2,1
oil_refinery/indoor          ,1,1,1,1,1
oil_refinery/outdoor         ,1,1,1,1,1
oil_well                     ,1,1,1,1,1
oilrig                       ,1,1,1,1,1
one-way_street               ,2,2,3,3,2
open-hearth_furnace          ,2,2,2,3,2
operating_room               ,2,2,2,2,2
operating_table              ,2,2,2,2,2
optician                     ,4,2,2,2,2
orchard                      ,4,3,3,3,3
orchestra_pit                ,2,1,2,3,1
organ_loft/exterior          ,2,2,2,2,2
organ_loft/interior          ,2,2,2,2,2
orlop_deck                   ,3,2,2,2,2
ossuary                      ,2,1,2,2,1
outbuilding                  ,3,2,2,3,2
outcropping                  ,3,2,3,3,2
outhouse/indoor              ,4,2,3,2,2
outhouse/outdoor             ,4,2,3,2,2
overpass                     ,1,2,3,2,2
oyster_bar                   ,3,1,2,2,1
oyster_farm                  ,2,2,2,2,2
packaging_plant              ,2,1,2,1,1
pagoda                       ,4,2,3,2,2
palace                       ,4,3,3,2,3
palace_hall                  ,4,3,3,2,3
palestra                     ,3,2,3,2,2
palisade                     ,3,1,3,2,1
pallet/indoor                ,3,2,3,2,2
pantry                       ,4,2,3,4,2
paper_mill                   ,2,1,3,1,1
parade_ground                ,4,3,3,4,3
park                         ,5,5,3,5,5
parking_garage/indoor        ,3,2,3,3,2
